[s],CH1[V]
1.20710E-01,1.966E-02
1.20720E-01,1.886E-02
1.20730E-01,1.486E-02
1.20740E-01,1.726E-02
1.20750E-01,1.566E-02
1.20760E-01,1.886E-02
1.20770E-01,1.566E-02
1.20780E-01,1.806E-02
1.20790E-01,2.526E-02
1.20800E-01,1.726E-02
1.20810E-01,1.566E-02
1.20820E-01,1.886E-02
1.20830E-01,2.046E-02
1.20840E-01,1.886E-02
1.20850E-01,1.566E-02
1.20860E-01,1.406E-02
1.20870E-01,1.806E-02
1.20880E-01,1.886E-02
1.20890E-01,1.966E-02
1.20900E-01,2.286E-02
1.20910E-01,2.286E-02
1.20920E-01,2.286E-02
1.20930E-01,1.886E-02
1.20940E-01,2.286E-02
1.20950E-01,2.206E-02
1.20960E-01,2.046E-02
1.20970E-01,2.206E-02
1.20980E-01,1.966E-02
1.20990E-01,2.046E-02
1.21000E-01,2.286E-02
1.21010E-01,2.206E-02
1.21020E-01,1.966E-02
1.21030E-01,1.886E-02
1.21040E-01,1.886E-02
1.21050E-01,1.566E-02
1.21060E-01,1.566E-02
1.21070E-01,1.566E-02
1.21080E-01,1.726E-02
1.21090E-01,1.646E-02
1.21100E-01,1.486E-02
1.21110E-01,1.726E-02
1.21120E-01,1.486E-02
1.21130E-01,1.806E-02
1.21140E-01,1.566E-02
1.21150E-01,1.806E-02
1.21160E-01,1.886E-02
1.21170E-01,1.726E-02
1.21180E-01,1.726E-02
1.21190E-01,1.646E-02
1.21200E-01,2.046E-02
1.21210E-01,1.886E-02
1.21220E-01,1.566E-02
1.21230E-01,1.566E-02
1.21240E-01,1.566E-02
1.21250E-01,1.886E-02
1.21260E-01,1.566E-02
1.21270E-01,1.726E-02
1.21280E-01,1.646E-02
1.21290E-01,1.726E-02
1.21300E-01,1.566E-02
1.21310E-01,1.726E-02
1.21320E-01,2.126E-02
1.21330E-01,1.726E-02
1.21340E-01,1.966E-02
1.21350E-01,1.486E-02
1.21360E-01,1.566E-02
1.21370E-01,1.646E-02
1.21380E-01,1.726E-02
1.21390E-01,1.566E-02
1.21400E-01,1.646E-02
1.21410E-01,1.886E-02
1.21420E-01,1.406E-02
1.21430E-01,1.726E-02
1.21440E-01,1.406E-02
1.21450E-01,1.726E-02
1.21460E-01,1.726E-02
1.21470E-01,1.486E-02
1.21480E-01,1.486E-02
1.21490E-01,1.326E-02
1.21500E-01,1.406E-02
1.21510E-01,1.246E-02
1.21520E-01,1.646E-02
1.21530E-01,1.566E-02
1.21540E-01,1.486E-02
1.21550E-01,1.566E-02
1.21560E-01,1.406E-02
1.21570E-01,1.726E-02
1.21580E-01,1.566E-02
1.21590E-01,1.566E-02
1.21600E-01,1.086E-02
1.21610E-01,1.486E-02
1.21620E-01,1.566E-02
1.21630E-01,1.486E-02
1.21640E-01,1.806E-02
1.21650E-01,1.646E-02
1.21660E-01,1.726E-02
1.21670E-01,1.886E-02
1.21680E-01,1.566E-02
1.21690E-01,1.726E-02
1.21700E-01,1.726E-02
1.21710E-01,1.726E-02
1.21720E-01,1.486E-02
1.21730E-01,1.486E-02
1.21740E-01,1.726E-02
1.21750E-01,1.406E-02
1.21760E-01,1.326E-02
1.21770E-01,1.326E-02
1.21780E-01,1.646E-02
1.21790E-01,1.166E-02
1.21800E-01,1.406E-02
1.21810E-01,1.086E-02
1.21820E-01,1.406E-02
1.21830E-01,1.166E-02
1.21840E-01,1.166E-02
1.21850E-01,1.406E-02
1.21860E-01,1.166E-02
1.21870E-01,1.406E-02
1.21880E-01,1.166E-02
1.21890E-01,1.246E-02
1.21900E-01,1.166E-02
1.21910E-01,1.326E-02
1.21920E-01,1.006E-02
1.21930E-01,1.166E-02
1.21940E-01,1.566E-02
1.21950E-01,1.486E-02
1.21960E-01,1.246E-02
1.21970E-01,1.166E-02
1.21980E-01,1.246E-02
1.21990E-01,1.006E-02
1.22000E-01,1.326E-02
1.22010E-01,1.566E-02
1.22020E-01,1.326E-02
1.22030E-01,1.566E-02
1.22040E-01,1.566E-02
1.22050E-01,1.486E-02
1.22060E-01,1.886E-02
1.22070E-01,1.566E-02
1.22080E-01,1.566E-02
1.22090E-01,1.166E-02
1.22100E-01,1.406E-02
1.22110E-01,1.326E-02
1.22120E-01,1.166E-02
1.22130E-01,1.086E-02
1.22140E-01,9.261E-03
1.22150E-01,1.166E-02
1.22160E-01,8.461E-03
1.22170E-01,9.261E-03
1.22180E-01,8.461E-03
1.22190E-01,1.086E-02
1.22200E-01,1.006E-02
1.22210E-01,9.261E-03
1.22220E-01,1.086E-02
1.22230E-01,1.006E-02
1.22240E-01,1.166E-02
1.22250E-01,9.261E-03
1.22260E-01,1.166E-02
1.22270E-01,1.886E-02
1.22280E-01,1.086E-02
1.22290E-01,1.166E-02
1.22300E-01,9.261E-03
1.22310E-01,1.086E-02
1.22320E-01,6.061E-03
1.22330E-01,8.461E-03
1.22340E-01,6.861E-03
1.22350E-01,8.461E-03
1.22360E-01,9.261E-03
1.22370E-01,9.261E-03
1.22380E-01,1.086E-02
1.22390E-01,1.006E-02
1.22400E-01,1.086E-02
1.22410E-01,5.261E-03
1.22420E-01,1.166E-02
1.22430E-01,1.246E-02
1.22440E-01,1.166E-02
1.22450E-01,1.246E-02
1.22460E-01,1.086E-02
1.22470E-01,1.326E-02
1.22480E-01,1.406E-02
1.22490E-01,1.406E-02
1.22500E-01,1.326E-02
1.22510E-01,1.166E-02
1.22520E-01,1.166E-02
1.22530E-01,8.461E-03
1.22540E-01,1.006E-02
1.22550E-01,7.661E-03
1.22560E-01,1.006E-02
1.22570E-01,1.086E-02
1.22580E-01,7.661E-03
1.22590E-01,7.661E-03
1.22600E-01,5.261E-03
1.22610E-01,6.061E-03
1.22620E-01,2.061E-03
1.22630E-01,5.261E-03
1.22640E-01,6.061E-03
1.22650E-01,3.661E-03
1.22660E-01,4.461E-03
1.22670E-01,5.261E-03
1.22680E-01,9.261E-03
1.22690E-01,9.261E-03
1.22700E-01,9.261E-03
1.22710E-01,1.006E-02
1.22720E-01,9.261E-03
1.22730E-01,1.326E-02
1.22740E-01,1.086E-02
1.22750E-01,1.326E-02
1.22760E-01,1.246E-02
1.22770E-01,1.246E-02
1.22780E-01,1.006E-02
1.22790E-01,1.006E-02
1.22800E-01,1.406E-02
1.22810E-01,9.261E-03
1.22820E-01,1.166E-02
1.22830E-01,7.661E-03
1.22840E-01,1.086E-02
1.22850E-01,1.166E-02
1.22860E-01,1.326E-02
1.22870E-01,1.246E-02
1.22880E-01,1.326E-02
1.22890E-01,1.406E-02
1.22900E-01,1.006E-02
1.22910E-01,1.086E-02
1.22920E-01,8.461E-03
1.22930E-01,1.006E-02
1.22940E-01,1.006E-02
1.22950E-01,5.261E-03
1.22960E-01,9.261E-03
1.22970E-01,9.261E-03
1.22980E-01,9.261E-03
1.22990E-01,8.461E-03
1.23000E-01,9.261E-03
1.23010E-01,8.461E-03
1.23020E-01,8.461E-03
1.23030E-01,7.661E-03
1.23040E-01,6.861E-03
1.23050E-01,9.261E-03
1.23060E-01,8.461E-03
1.23070E-01,8.461E-03
1.23080E-01,5.261E-03
1.23090E-01,1.006E-02
1.23100E-01,9.261E-03
1.23110E-01,7.661E-03
1.23120E-01,1.006E-02
1.23130E-01,1.006E-02
1.23140E-01,1.006E-02
1.23150E-01,1.086E-02
1.23160E-01,9.261E-03
1.23170E-01,9.261E-03
1.23180E-01,7.661E-03
1.23190E-01,7.661E-03
1.23200E-01,5.261E-03
1.23210E-01,7.661E-03
1.23220E-01,1.086E-02
1.23230E-01,1.006E-02
1.23240E-01,1.086E-02
1.23250E-01,7.661E-03
1.23260E-01,8.461E-03
1.23270E-01,2.861E-03
1.23280E-01,5.261E-03
1.23290E-01,3.661E-03
1.23300E-01,9.261E-03
1.23310E-01,1.166E-02
1.23320E-01,9.261E-03
1.23330E-01,9.261E-03
1.23340E-01,5.261E-03
1.23350E-01,9.261E-03
1.23360E-01,8.461E-03
1.23370E-01,9.261E-03
1.23380E-01,9.261E-03
1.23390E-01,5.261E-03
1.23400E-01,2.061E-03
1.23410E-01,2.861E-03
1.23420E-01,6.061E-03
1.23430E-01,7.661E-03
1.23440E-01,5.261E-03
1.23450E-01,6.061E-03
1.23460E-01,8.461E-03
1.23470E-01,5.261E-03
1.23480E-01,8.461E-03
1.23490E-01,1.006E-02
1.23500E-01,7.661E-03
1.23510E-01,8.461E-03
1.23520E-01,8.461E-03
1.23530E-01,1.006E-02
1.23540E-01,1.246E-02
1.23550E-01,9.261E-03
1.23560E-01,1.166E-02
1.23570E-01,7.661E-03
1.23580E-01,9.261E-03
1.23590E-01,8.461E-03
1.23600E-01,7.661E-03
1.23610E-01,6.861E-03
1.23620E-01,6.861E-03
1.23630E-01,8.461E-03
1.23640E-01,6.061E-03
1.23650E-01,8.461E-03
1.23660E-01,6.061E-03
1.23670E-01,7.661E-03
1.23680E-01,1.006E-02
1.23690E-01,8.461E-03
1.23700E-01,1.086E-02
1.23710E-01,7.661E-03
1.23720E-01,1.086E-02
1.23730E-01,8.461E-03
1.23740E-01,1.006E-02
1.23750E-01,1.566E-02
1.23760E-01,1.086E-02
1.23770E-01,1.166E-02
1.23780E-01,1.166E-02
1.23790E-01,1.326E-02
1.23800E-01,1.086E-02
1.23810E-01,1.246E-02
1.23820E-01,8.461E-03
1.23830E-01,9.261E-03
1.23840E-01,1.006E-02
1.23850E-01,9.261E-03
1.23860E-01,9.261E-03
1.23870E-01,1.006E-02
1.23880E-01,1.246E-02
1.23890E-01,7.661E-03
1.23900E-01,1.246E-02
1.23910E-01,1.406E-02
1.23920E-01,1.326E-02
1.23930E-01,1.326E-02
1.23940E-01,1.086E-02
1.23950E-01,1.326E-02
1.23960E-01,1.646E-02
1.23970E-01,1.406E-02
1.23980E-01,1.486E-02
1.23990E-01,1.326E-02
1.24000E-01,1.486E-02
1.24010E-01,1.246E-02
1.24020E-01,1.166E-02
1.24030E-01,1.006E-02
1.24040E-01,1.166E-02
1.24050E-01,1.246E-02
1.24060E-01,9.261E-03
1.24070E-01,1.006E-02
1.24080E-01,7.661E-03
1.24090E-01,9.261E-03
1.24100E-01,5.261E-03
1.24110E-01,8.461E-03
1.24120E-01,9.261E-03
1.24130E-01,7.661E-03
1.24140E-01,7.661E-03
1.24150E-01,1.006E-02
1.24160E-01,1.246E-02
1.24170E-01,1.326E-02
1.24180E-01,1.246E-02
1.24190E-01,1.166E-02
1.24200E-01,9.261E-03
1.24210E-01,1.246E-02
1.24220E-01,9.261E-03
1.24230E-01,1.086E-02
1.24240E-01,9.261E-03
1.24250E-01,1.166E-02
1.24260E-01,1.086E-02
1.24270E-01,1.086E-02
1.24280E-01,1.166E-02
1.24290E-01,1.166E-02
1.24300E-01,1.326E-02
1.24310E-01,1.086E-02
1.24320E-01,1.486E-02
1.24330E-01,1.166E-02
1.24340E-01,1.326E-02
1.24350E-01,1.246E-02
1.24360E-01,1.086E-02
1.24370E-01,1.166E-02
1.24380E-01,9.261E-03
1.24390E-01,1.086E-02
1.24400E-01,9.261E-03
1.24410E-01,1.166E-02
1.24420E-01,1.406E-02
1.24430E-01,1.086E-02
1.24440E-01,1.246E-02
1.24450E-01,1.006E-02
1.24460E-01,1.166E-02
1.24470E-01,1.006E-02
1.24480E-01,1.006E-02
1.24490E-01,7.661E-03
1.24500E-01,9.261E-03
1.24510E-01,1.086E-02
1.24520E-01,9.261E-03
1.24530E-01,1.086E-02
1.24540E-01,1.006E-02
1.24550E-01,1.086E-02
1.24560E-01,5.261E-03
1.24570E-01,1.006E-02
1.24580E-01,1.166E-02
1.24590E-01,1.166E-02
1.24600E-01,1.406E-02
1.24610E-01,1.246E-02
1.24620E-01,1.326E-02
1.24630E-01,1.566E-02
1.24640E-01,1.246E-02
